draw,best_existing_prediction,optimized_candidate_prediction,candidate_minus_existing
166,1.9937259017633197e-05,2.0465208847407502e-05,5.279498297743049e-07
167,1.9282421545243193e-05,2.0682875684535717e-05,1.4004541392925238e-06
168,2.231703233673651e-05,2.340458761567409e-05,1.0875552789375818e-06
169,1.7030327677390597e-05,1.8124952589719536e-05,1.0946249123289387e-06
170,2.3316089288171517e-05,2.001214272994507e-05,-3.3039465582264453e-06
171,2.5717550563629315e-05,1.862951818794864e-05,-7.088032375680676e-06
172,2.236902794788444e-05,2.0336678839316146e-05,-2.0323491085682937e-06
173,2.3398006627059113e-05,2.2033465429449475e-05,-1.364541197609638e-06
174,1.8534038553699908e-05,1.954037869062504e-05,1.0063401369251327e-06
175,1.7182943523277187e-05,2.0048823507922548e-05,2.8658799846453605e-06
176,2.5162465037023535e-05,2.092260286636037e-05,-4.2398621706631654e-06
177,1.89169681191366e-05,2.0905349809926347e-05,1.9883816907897453e-06
178,2.2555296811457573e-05,2.2383506242649975e-05,-1.7179056880759793e-07
179,1.751092513700988e-05,1.9903068801932083e-05,2.3921436649222032e-06
180,2.150160974999772e-05,2.272704531907833e-05,1.2254355690806095e-06
181,2.180071123598087e-05,2.021077602047493e-05,-1.5899352155059431e-06
182,2.1336794898222407e-05,2.2804664168493905e-05,1.4678692702714983e-06
183,1.6925793762354746e-05,2.0270866594753145e-05,3.3450728323983995e-06
184,2.0145931187672534e-05,2.2498163706135484e-05,2.35223251846295e-06
185,1.975002705806658e-05,1.8680463877258817e-05,-1.0695631808077642e-06
186,2.940086924602674e-05,2.587887168067718e-05,-3.521997565349562e-06
187,2.562563351001835e-05,2.2587993029283703e-05,-3.037640480734646e-06
188,1.9419259252609403e-05,2.2095216233107033e-05,2.6759569804976307e-06
189,1.997028409673528e-05,1.866957886906012e-05,-1.3007052276751612e-06
190,2.0471287664292195e-05,2.130348276506998e-05,8.321951007777862e-07
191,1.7459739507275914e-05,2.0987731019110243e-05,3.5279915118343285e-06
192,1.8263042264319565e-05,2.288217107847169e-05,4.6191288141521255e-06
193,2.7135128525862073e-05,2.265188943963123e-05,-4.483239086230842e-06
194,2.567228954438904e-05,2.2167824499716225e-05,-3.5044650446728134e-06
195,1.743977839687836e-05,1.9719602652995133e-05,2.2798242561167733e-06
196,2.1357159539645728e-05,2.1109120474076093e-05,-2.480390655696353e-07
197,2.1760031927869106e-05,2.0682421379715913e-05,-1.077610548153193e-06
198,1.6708138182176222e-05,2.0774552649228102e-05,4.0664144670518806e-06
199,1.6290498327026997e-05,1.9442026630402488e-05,3.1515283033754906e-06
200,2.0539210218848603e-05,1.9783016219851752e-05,-7.561939989968503e-07
201,1.9642290997305136e-05,2.079656952429639e-05,1.154278526991255e-06
202,1.755595657480229e-05,1.7784399687850675e-05,2.284431130483853e-07
203,2.0820965251224223e-05,2.1786789498158402e-05,9.658242469341793e-07
204,2.284430044704548e-05,2.1601493137848985e-05,-1.242807309196496e-06
205,2.6605646162747197e-05,2.193394383810225e-05,-4.671702324644947e-06
206,2.354910323890556e-05,2.3650446064791284e-05,1.0134282588572288e-07
207,2.292209870746652e-05,2.290442224405024e-05,-1.7676463416278277e-08
208,2.4190780437511285e-05,2.1427792595845916e-05,-2.762987841665369e-06
209,2.3824332737813625e-05,1.9530037126026718e-05,-4.294295611786907e-06
210,2.0567270825365892e-05,2.0806541753823074e-05,2.392709284571818e-07
211,1.721633808758073e-05,1.8213437083430237e-05,9.970989958495063e-07
212,1.957141984185147e-05,2.104935733197326e-05,1.4779374901217907e-06
213,1.8639559451128272e-05,1.815358760235165e-05,-4.859718487766213e-07
214,1.701239520045713e-05,2.003860354008782e-05,3.026208339630691e-06
215,1.9112435552875253e-05,2.2121394032786472e-05,3.0089584799112187e-06
216,2.388459083794197e-05,2.2377384589969246e-05,-1.507206247972725e-06
217,2.0532537861952343e-05,2.0778159121308655e-05,2.45621259356312e-07
